Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;Matemática;Língua Portuguesa;Nota Média Padronizada (N)
RO;1100015;Alta Floresta D'Oeste;11024682;EEEFM EURIDICE LOPES PEDROSO;Estadual;254.41;253.38;4.055802
RO;1100015;Alta Floresta D'Oeste;11024968;EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;306.56;300.31;5.490791
RO;1100015;Alta Floresta D'Oeste;11025638;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XI;Estadual;285.14;288.04;5.006266
RO;1100023;Ariquemes;11006773;EEEFM CORA CORALINA;Estadual;256.07;254.76;4.099775
RO;1100023;Ariquemes;11006889;EEEFM ANISIO TEIXEIRA;Estadual;264.11;261.11;4.307757
RO;1100023;Ariquemes;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Estadual;268.52;268.2;4.475833
RO;1100023;Ariquemes;11007656;COLEGIO DINAMICO EDUCACAO BASICA;Privada;;;
RO;1100023;Ariquemes;11007885;EEEMTI HEITOR VILLA LOBOS;Estadual;289.4;291.49;5.117744
RO;1100023;Ariquemes;11007893;EEEFM RICARDO CANTANHEDE;Estadual;271.57;276.41;4.641574
RO;1100023;Ariquemes;11048620;EEEMTI PROFESSORA CARMEM IONE DE ARAUJO;Estadual;264.64;277.42;4.559362
RO;1100023;Ariquemes;11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;Estadual;263.42;269.42;4.422467
RO;1100023;Ariquemes;11108800;IFRO - CAMPUS ARIQUEMES;Federal;;;
RO;1100031;Cabixi;11034440;EEEFM JOSE DE ANCHIETA;Estadual;262.44;256.32;4.212595
RO;1100049;Cacoal;11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Privada;;;
RO;1100049;Cacoal;11026073;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IX;Estadual;278.11;287.05;4.892709
RO;1100049;Cacoal;11026197;EEEFM CARLOS DRUMMO DE ARADE;Estadual;240.12;235,00;3.57995
RO;1100049;Cacoal;11026278;EEEFM CORA CORALINA;Estadual;261.05;260.86;4.261037
RO;1100049;Cacoal;11027290;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Privada;;;
RO;1100049;Cacoal;11027320;EEEFM CARLOS GOMES;Estadual;266.48;273.13;4.520983
RO;1100049;Cacoal;11027347;EEEMTI CLODOALDO NUNES DE ALMEIDA;Estadual;258.08;250.54;4.064832
RO;1100049;Cacoal;11027355;ESCOLA DE ENSINO FUAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Privada;;;
RO;1100049;Cacoal;11027401;EEEFM CELSO FERREIRA DA CUNHA;Estadual;257.96;253.07;4.101021
RO;1100049;Cacoal;11046740;EEEMTI JOSINO BRITO;Estadual;285.61;274.41;4.808825
RO;1100049;Cacoal;11049723;INSTITUTO EDUCACIONAL SOMA - IES;Privada;;;
RO;1100049;Cacoal;11109815;IFRO - CAMPUS CACOAL;Federal;301.01;305.36;5.48844
RO;1100056;Cerejeiras;11034998;EEEM TANCREDO DE ALMEIDA NEVES;Estadual;272.43;275.23;4.635988
RO;1100064;Colorado do Oeste;11035951;EEEFM MANUEL BAEIRA;Estadual;271.24;272.06;4.571819
RO;1100064;Colorado do Oeste;11035960;EEEFM PAULO DE ASSIS RIBEIRO;Estadual;264.22;265.5;4.37502
RO;1100064;Colorado do Oeste;11037016;IFRO - CAMPUS COLORADO DO OESTE;Federal;290.94;298.2;5.239822
RO;1100072;Corumbiara;11036125;EEEFM COLINA VERDE;Estadual;258.64;251.66;4.089464
RO;1100072;Corumbiara;11036397;EEEFM MARECHAL ROON;Estadual;277.15;267.79;4.590903
RO;1100072;Corumbiara;11036486;EEEFM DOUTOR OSWALDO PIANNA;Estadual;247.94;255.12;3.990979
RO;1100080;Costa Marques;11005823;EEEFM ANGELINA DOS ANJOS;Estadual;265.37;258.95;4.293118
RO;1100080;Costa Marques;11047216;EEEFM DARCY DA SILVEIRA;Estadual;255.18;251.11;4.032635
RO;1100098;Espigão D'Oeste;11027754;EEEFM JEAN PIAGET;Estadual;266.62;261.04;4.341962
RO;1100098;Espigão D'Oeste;11028424;EEEMTI 7 DE SETEMBRO;Estadual;289.51;295.57;5.180367
RO;1100106;Guajará-Mirim;11005939;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM X;Estadual;268.86;279.65;4.652015
RO;1100106;Guajará-Mirim;11006420;EEEF PRESIDENTE EURICO GASPAR DUTRA;Estadual;247.01;273.15;4.247828
RO;1100106;Guajará-Mirim;11006617;EEEFM IRMA MARIA CELESTE CIVICO-MILITAR;Estadual;245.74;251.72;3.909182
RO;1100106;Guajará-Mirim;11006633;EEEFM ROCHA LEAL;Estadual;236.44;247.7;3.718385
RO;1100106;Guajará-Mirim;11006641;EEEMTI SIMON BOLIVAR;Estadual;263.84;261.17;4.304863
RO;1100106;Guajará-Mirim;11006706;CENTRO EDUCACIONAL INOVACAO;Privada;;;
RO;1100106;Guajará-Mirim;11049960;IFRO - CAMPUS GUAJARA-MIRIM;Federal;;;
RO;1100106;Guajará-Mirim;11089806;EEEF SALOMAO JUSTINIANO DE MELGAR;Estadual;259.16;262.7;4.262037
RO;1100114;Jaru;11011491;EEEMTI CAPITAO SILVIO DE FARIAS;Estadual;264.33;285.93;4.682403
RO;1100114;Jaru;11011661;EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS;Estadual;266.21;280.18;4.62273
RO;1100114;Jaru;11012099;EEEFM GOV JORGE TEIXEIRA DE OLIVEIRA;Estadual;;;
RO;1100114;Jaru;11012145;EEEFM JOSUE MONTELLO;Estadual;262.67;239.24;3.960137
RO;1100114;Jaru;11012277;EEEFM MARECHAL COSTA E SILVA;Estadual;265.14;259.17;4.293181
RO;1100114;Jaru;11012447;EEEFM OLGA DELLAIA;Estadual;254.7;240.81;3.871702
RO;1100114;Jaru;11012579;EEEFM PEDRO VIEIRA DE MELO;Estadual;255.08;250.08;4.015811
RO;1100114;Jaru;11012684;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM XIII;Estadual;245.29;256.72;3.977712
RO;1100114;Jaru;11012994;EEEFM PLACIDO DE CASTRO;Estadual;262.23;268.55;4.392729
RO;1100114;Jaru;11040076;COOPERATIVA DE PROFISSIONAIS EM EDUCACAO;Privada;;;
RO;1100114;Jaru;11050322;IFRO - CAMPUS JARU;Federal;;;
RO;1100122;Ji-Paraná;11013141;COLEGIO ULBRA SAO PAULO;Privada;;;
RO;1100122;Ji-Paraná;11013737;COLEGIO ADVENTISTA DE JI-PARANA;Privada;;;
RO;1100122;Ji-Paraná;11014156;EEEFM JANETE CLAIR;Estadual;252.25;254.02;4.035046
RO;1100122;Ji-Paraná;11014300;EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA;Estadual;;;
RO;1100122;Ji-Paraná;11014431;EEEFM MARCOS BISPO DA SILVA;Estadual;264.33;268.25;4.417733
RO;1100122;Ji-Paraná;11015500;EEEFM TUPA;Estadual;256.71;260.52;4.194992
RO;1100122;Ji-Paraná;11015608;EEEFM ALUIZIO FERREIRA;Estadual;281.23;278.67;4.81108
RO;1100122;Ji-Paraná;11015616;EEEFM CEL JORGE TEIXEIRA DE OLIVEIRA;Estadual;247.63;233.74;3.666565
RO;1100122;Ji-Paraná;11015624;EEEFM GONCALVES DIAS;Estadual;254.19;262.64;4.191335
RO;1100122;Ji-Paraná;11015632;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM IV;Estadual;277.05;283.54;4.825277
RO;1100122;Ji-Paraná;11015667;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM VI;Estadual;284.11;295.67;5.106021
