DEPADM;DEPBOL;NOMEDEPBOL;CODRMET;REGIAOMETROPOLITANA;SERIE_ANO;COD_PER;PERIODO;CO_COMP;DS_COMP;MEDPROF
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;175,8
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;167,7
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;171,1
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;2º Ano EF;2;TARDE;2;MATEMÁTICA;163,3
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;172,7
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;2º Ano EF;9;GERAL;2;MATEMÁTICA;164,8
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;200,2
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;214,1
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;197,2
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;5º Ano EF;2;TARDE;2;MATEMÁTICA;210,4
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;199,2
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;5º Ano EF;9;GERAL;2;MATEMÁTICA;212,9
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;232,2
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;243,4
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;231
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;9º Ano EF;2;TARDE;2;MATEMÁTICA;240,2
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;231,9
1;1;Rede Estadual;1;Região Metropolitana de São Paulo;9º Ano EF;9;GERAL;2;MATEMÁTICA;242,7
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;164
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;157,7
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;161,9
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;2º Ano EF;2;TARDE;2;MATEMÁTICA;154,1
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;162,1
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;2º Ano EF;9;GERAL;2;MATEMÁTICA;154,6
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;184,4
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;196,9
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;202,7
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;5º Ano EF;2;TARDE;2;MATEMÁTICA;214,1
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;189,1
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;5º Ano EF;9;GERAL;2;MATEMÁTICA;201,4
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;232,1
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;244,4
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;231,4
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;9º Ano EF;2;TARDE;2;MATEMÁTICA;239,1
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;231,9
1;1;Rede Estadual;2;Região Metropolitana da Baixada Santista;9º Ano EF;9;GERAL;2;MATEMÁTICA;242,9
1;1;Rede Estadual;3;Região Metropolitana de Campinas;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;182,9
1;1;Rede Estadual;3;Região Metropolitana de Campinas;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;176,7
1;1;Rede Estadual;3;Região Metropolitana de Campinas;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;180,6
1;1;Rede Estadual;3;Região Metropolitana de Campinas;2º Ano EF;2;TARDE;2;MATEMÁTICA;173,4
1;1;Rede Estadual;3;Região Metropolitana de Campinas;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;181,6
1;1;Rede Estadual;3;Região Metropolitana de Campinas;2º Ano EF;9;GERAL;2;MATEMÁTICA;174,8
1;1;Rede Estadual;3;Região Metropolitana de Campinas;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;204,1
1;1;Rede Estadual;3;Região Metropolitana de Campinas;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;219
1;1;Rede Estadual;3;Região Metropolitana de Campinas;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;198
1;1;Rede Estadual;3;Região Metropolitana de Campinas;5º Ano EF;2;TARDE;2;MATEMÁTICA;213,4
1;1;Rede Estadual;3;Região Metropolitana de Campinas;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;202
1;1;Rede Estadual;3;Região Metropolitana de Campinas;5º Ano EF;9;GERAL;2;MATEMÁTICA;217,1
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;238,1
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,6
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;234,7
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;2;TARDE;2;MATEMÁTICA;245,8
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;3;NOITE;1;LÍNGUA PORTUGUESA;207,6
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;3;NOITE;2;MATEMÁTICA;227,5
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;237
1;1;Rede Estadual;3;Região Metropolitana de Campinas;9º Ano EF;9;GERAL;2;MATEMÁTICA;248,6
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;166,2
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;156,6
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;177,6
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;2;TARDE;2;MATEMÁTICA;168,8
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;176,6
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;2º Ano EF;9;GERAL;2;MATEMÁTICA;167,7
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;213,1
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;233,9
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;206,7
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;2;TARDE;2;MATEMÁTICA;222,1
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;207,8
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;5º Ano EF;9;GERAL;2;MATEMÁTICA;224,1
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;237,6
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;249,9
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;234,6
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;2;TARDE;2;MATEMÁTICA;246,5
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;237,1
1;1;Rede Estadual;4;Região Metropolitana do Vale do Paraíba e Litoral Norte;9º Ano EF;9;GERAL;2;MATEMÁTICA;249,3
1;1;Rede Estadual;5;Interior;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;188,8
1;1;Rede Estadual;5;Interior;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;184,2
1;1;Rede Estadual;5;Interior;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;181,8
1;1;Rede Estadual;5;Interior;2º Ano EF;2;TARDE;2;MATEMÁTICA;174,9
1;1;Rede Estadual;5;Interior;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;185,6
1;1;Rede Estadual;5;Interior;2º Ano EF;9;GERAL;2;MATEMÁTICA;179,9
1;1;Rede Estadual;5;Interior;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;210,8
1;1;Rede Estadual;5;Interior;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;230,8
1;1;Rede Estadual;5;Interior;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;208
1;1;Rede Estadual;5;Interior;5º Ano EF;2;TARDE;2;MATEMÁTICA;226,1
1;1;Rede Estadual;5;Interior;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;210
1;1;Rede Estadual;5;Interior;5º Ano EF;9;GERAL;2;MATEMÁTICA;229,4
1;1;Rede Estadual;5;Interior;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;237,9
1;1;Rede Estadual;5;Interior;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;251,7
1;1;Rede Estadual;5;Interior;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;232,6
1;1;Rede Estadual;5;Interior;9º Ano EF;2;TARDE;2;MATEMÁTICA;244,9
1;1;Rede Estadual;5;Interior;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;237,3
1;1;Rede Estadual;5;Interior;9º Ano EF;9;GERAL;2;MATEMÁTICA;250,8
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;172
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;164,1
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;169,4
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;2º Ano EF;2;TARDE;2;MATEMÁTICA;162,3
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;170,5
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;2º Ano EF;9;GERAL;2;MATEMÁTICA;163
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;5º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;203,1
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;5º Ano EF;1;MANHÃ;2;MATEMÁTICA;219,9
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;5º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;191,3
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;5º Ano EF;2;TARDE;2;MATEMÁTICA;206,9
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;5º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;198,3
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;5º Ano EF;9;GERAL;2;MATEMÁTICA;214,6
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;229,8
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;1;MANHÃ;2;MATEMÁTICA;244,4
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;228,4
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;2;TARDE;2;MATEMÁTICA;243,1
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;229,5
1;1;Rede Estadual;6;Região Metropolitana de Ribeirão Preto;9º Ano EF;9;GERAL;2;MATEMÁTICA;244,1
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;1;MANHÃ;1;LÍNGUA PORTUGUESA;185,3
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;1;MANHÃ;2;MATEMÁTICA;178,6
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;2;TARDE;1;LÍNGUA PORTUGUESA;173,4
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;2;TARDE;2;MATEMÁTICA;165,1
1;1;Rede Estadual;7;Região Metropolitana de Sorocaba;2º Ano EF;9;GERAL;1;LÍNGUA PORTUGUESA;175,9
